package_name,category,subcategory,framework,ecosystem
argparse,Utility Libraries,General Utilities,Argparse,javascript
react-helmet,Application Development,Web Frameworks,React-helmet,javascript
stylelint,Testing & Quality,Static Analysis,Stylelint,javascript
string,Utility Libraries,General Utilities,String,javascript
protobufjs,Serialization,Schema Management,Protobufjs,javascript
find-up,Utility Libraries,General Utilities,Find-up,javascript
esm,Developer Tooling,Build Tools,Es m,javascript
sprintf-js,Utility Libraries,General Utilities,Sprintf-js,javascript
rollup-plugin-node-resolve,Developer Tooling,Build Tools,Rollup-plugin-node-resolve,javascript
configstore,Utility Libraries,Configuration Utilities,Configstore,javascript
download,Utility Libraries,General Utilities,Download,javascript
traverse,Utility Libraries,General Utilities,Traverse,javascript
websocket,Application Integration,Messaging Protocols,Websocket,javascript
codemirror,Application Development,Web Frameworks,Codemirror,javascript
bs58,Utility Libraries,General Utilities,Bs58,javascript
googleapis,Application Integration,RPC & Web Services,Googleapis,javascript
method-override,Application Integration,RPC & Web Services,Method-override,javascript
formidable,Application Integration,RPC & Web Services,Formidable,javascript
tape,Testing & Quality,Testing Frameworks,Tape,javascript
karma,Testing & Quality,Testing Frameworks,Karma,javascript
json-stringify-safe,Utility Libraries,General Utilities,Json-stringify-safe,javascript
elasticsearch,Data Management,NoSQL Databases,Elasticsearch,javascript
split,Utility Libraries,General Utilities,Split,javascript
safe-buffer,Utility Libraries,General Utilities,Safe-buffer,javascript
rsvp,Utility Libraries,General Utilities,Rsvp,javascript
@oclif/plugin-help,Developer Tooling,Local Development Runtimes,@oclif/plugin-help,javascript
github,Utility Libraries,General Utilities,Github,javascript
xlsx,Utility Libraries,General Utilities,Xlsx,javascript
tinycolor2,Utility Libraries,General Utilities,Tinycolor2,javascript
lodash-es,Utility Libraries,Collections & Data Structures,Lodash-es,javascript
@babel/plugin-proposal-decorators,Developer Tooling,Build Tools,@babel/plugin-proposal-decorators,javascript
connect-history-api-fallback,Utility Libraries,General Utilities,Connect-history-api-fallback,javascript
@material-ui/icons,Application Development,Web Frameworks,@material-ui/icons,javascript
jsonschema,Utility Libraries,General Utilities,Jsonschema,javascript
portfinder,Utility Libraries,General Utilities,Portfinder,javascript
fbjs,Utility Libraries,General Utilities,Fbjs,javascript
boxen,Utility Libraries,General Utilities,Boxen,javascript
css,Developer Tooling,Build Tools,Css,javascript
elliptic,Utility Libraries,General Utilities,Elliptic,javascript
sharp,Utility Libraries,General Utilities,Sharp,javascript
http-errors,Application Integration,RPC & Web Services,Http-errors,javascript
co-prompt,Utility Libraries,General Utilities,Co-prompt,javascript
walk,Utility Libraries,General Utilities,Walk,javascript
restify,Application Development,Web Frameworks,Restify,javascript
three,Application Development,Web Frameworks,Three,javascript
metalsmith,Application Development,Web Frameworks,Metalsmith,javascript
json-stable-stringify,Serialization,JSON & XML,Json-stable-stringify,javascript
webpack-node-externals,Developer Tooling,Build Tools,Webpack-node-externals,javascript
requirejs,Application Development,Application Bootstrapping,Requirejs,javascript
regenerator-runtime,Utility Libraries,General Utilities,Regenerator-runtime,javascript
xmlbuilder,Serialization,JSON & XML,Xmlbuilder,javascript
unzip,Utility Libraries,General Utilities,Unzip,javascript
path-exists,Utility Libraries,General Utilities,Path-exists,javascript
rollup-plugin-commonjs,Developer Tooling,Build Tools,Rollup-plugin-commonjs,javascript
throttle-debounce,Utility Libraries,General Utilities,Throttle-debounce,javascript
user-home,Utility Libraries,General Utilities,User-home,javascript
cron,Utility Libraries,General Utilities,Cron,javascript
xmlhttprequest,Application Integration,RPC & Web Services,Xmlhttprequest,javascript
faker,Utility Libraries,General Utilities,Faker,javascript
systemjs,Application Development,Application Bootstrapping,Systemjs,javascript
inflection,Utility Libraries,General Utilities,Inflection,javascript
canvas,Utility Libraries,General Utilities,Canvas,javascript
get-stdin,Utility Libraries,General Utilities,Get-stdin,javascript
babel-types,Developer Tooling,Build Tools,Babel-types,javascript
read-pkg-up,Utility Libraries,General Utilities,Read-pkg-up,javascript
graphql-tools,Application Integration,Service Integration Frameworks,Graphql-tools,javascript
@types/jest,Testing & Quality,Testing Frameworks,@types/jest,javascript
escape-html,Utility Libraries,General Utilities,Escape-html,javascript
broccoli-merge-trees,Developer Tooling,Build Tools,Broccoli-merge-trees,javascript
ssh2,Utility Libraries,General Utilities,Ssh2,javascript
sax,Serialization,JSON & XML,Sax,javascript
child_process,Utility Libraries,General Utilities,Child_process,javascript
leaflet,Application Development,Web Frameworks,Leaflet,javascript
wrench,Utility Libraries,General Utilities,Wrench,javascript
rx,Application Development,Reactive Programming,Rx,javascript
ethereumjs-util,Utility Libraries,General Utilities,Ethereumjs-util,javascript
jimp,Utility Libraries,General Utilities,Jimp,javascript
enzyme,Testing & Quality,Testing Frameworks,Enzyme,javascript
prettyjson,Utility Libraries,General Utilities,Prettyjson,javascript
image-size,Utility Libraries,General Utilities,Image-size,javascript
bfj,Serialization,Binary Formats,Bfj,javascript
micromatch,Utility Libraries,General Utilities,Micromatch,javascript
gulp-watch,Developer Tooling,Build Tools,Gulp-watch,javascript
redux-actions,Application Development,Reactive Programming,Redux-actions,javascript
lit-element,Application Development,Web Frameworks,Lit-element,javascript
discord.js,Application Integration,Messaging Protocols,Discord.js,javascript
gulp-less,Developer Tooling,Build Tools,Gulp-less,javascript
jshint,Testing & Quality,Static Analysis,Jshint,javascript
vinyl-source-stream,Developer Tooling,Build Tools,Vinyl-source-stream,javascript
send,Application Integration,RPC & Web Services,Send,javascript
mysql2,Data Management,Relational Databases,Mysql2,javascript
@types/jquery,Utility Libraries,General Utilities,@types/jquery,javascript
user,Utility Libraries,General Utilities,User,javascript
slash,Utility Libraries,General Utilities,Slash,javascript
es6-shim,Utility Libraries,General Utilities,Es6-shim,javascript
watch,Utility Libraries,General Utilities,Watch,javascript
debounce,Utility Libraries,General Utilities,Debounce,javascript
d3-scale,Utility Libraries,General Utilities,D3-scale,javascript
babel-helper-vue-jsx-merge-props,Developer Tooling,Build Tools,Babel-helper-vue-jsx-merge-props,javascript
file-saver,Utility Libraries,General Utilities,File-saver,javascript
pull-stream,Utility Libraries,General Utilities,Pull-stream,javascript
lodash.omit,Utility Libraries,General Utilities,Lodash.omit,javascript
koa-compose,Utility Libraries,General Utilities,Koa-compose,javascript
chart.js,Application Development,Web Frameworks,Chart.js,javascript
gulp-replace,Developer Tooling,Build Tools,Gulp-replace,javascript
shallowequal,Utility Libraries,General Utilities,Shallowequal,javascript
cli-spinner,Utility Libraries,General Utilities,Cli-spinner,javascript
object-path,Utility Libraries,General Utilities,Object-path,javascript
react-intl,Application Development,Web Frameworks,React-intl,javascript
mobx-react,Application Development,Web Frameworks,Mobx-react,javascript
webpack-sources,Developer Tooling,Build Tools,Webpack-sources,javascript
flat,Utility Libraries,General Utilities,Flat,javascript
methods,Utility Libraries,General Utilities,Methods,javascript
jasmine,Testing & Quality,Testing Frameworks,Jasmine,javascript
jest-watch-typeahead,Testing & Quality,Testing Frameworks,Jest-watch-typeahead,javascript
react-dnd,Application Development,Web Frameworks,React-dnd,javascript
object-hash,Utility Libraries,General Utilities,Object-hash,javascript
eslint-plugin-babel,Testing & Quality,Static Analysis,Eslint-plugin-babel,javascript
parse5,Utility Libraries,General Utilities,Parse5,javascript
friendly-errors-webpack-plugin,Developer Tooling,Build Tools,Friendly-errors-webpack-plugin,javascript
gulp-template,Developer Tooling,Build Tools,Gulp-template,javascript
broccoli-funnel,Developer Tooling,Build Tools,Broccoli-funnel,javascript
@emotion/core,Application Development,Web Frameworks,@emotion/core,javascript
lodash.pick,Utility Libraries,General Utilities,Lodash.pick,javascript
listr,Utility Libraries,General Utilities,Listr,javascript
text-table,Utility Libraries,General Utilities,Text-table,javascript
babel-plugin-transform-es2015-modules-commonjs,Developer Tooling,Build Tools,Babel-plugin-transform-es2015-modules-commonjs,javascript
lodash.set,Utility Libraries,General Utilities,Lodash.set,javascript
watchify,Developer Tooling,Build Tools,Watchify,javascript
estraverse,Utility Libraries,General Utilities,Estraverse,javascript
unist-util-visit,Utility Libraries,General Utilities,Unist-util-visit,javascript
@fortawesome/fontawesome-svg-core,Application Development,Web Frameworks,@fortawesome/fontawesome-svg-core,javascript
@angular/compiler-cli,Developer Tooling,Build Tools,@angular/compiler-cli,javascript
strip-json-comments,Utility Libraries,General Utilities,Strip-json-comments,javascript
randomstring,Utility Libraries,General Utilities,Randomstring,javascript
node-emoji,Utility Libraries,General Utilities,Node-emoji,javascript
react-addons-css-transition-group,Application Development,Web Frameworks,React-addons-css-transition-group,javascript
clui,Utility Libraries,General Utilities,Clui,javascript
babel-plugin-import,Developer Tooling,Build Tools,Babel-plugin-import,javascript
tslint-react,Testing & Quality,Static Analysis,Tslint-react,javascript
errorhandler,Utility Libraries,General Utilities,Errorhandler,javascript
blessed,Application Development,Web Frameworks,Blessed,javascript
electron,Deployment & Runtime Platforms,Local Development Runtimes,Electron,javascript
eslint-plugin-jest,Testing & Quality,Static Analysis,Eslint-plugin-jest,javascript
bytes,Utility Libraries,General Utilities,Bytes,javascript
deasync,Utility Libraries,General Utilities,Deasync,javascript
vue-hot-reload-api,Developer Tooling,Build Tools,Vue-hot-reload-api,javascript
swig,Application Development,Template Engines,Swig,javascript
jest-pnp-resolver,Testing & Quality,Testing Frameworks,Jest-pnp-resolver,javascript
node-schedule,Utility Libraries,General Utilities,Node-schedule,javascript
rollup-plugin-babel,Developer Tooling,Build Tools,Rollup-plugin-babel,javascript
figures,Utility Libraries,General Utilities,Figures,javascript
oauth,Security,Authentication & Authorization,Oauth,javascript
nedb,Data Management,NoSQL Databases,Nedb,javascript
detect-port,Utility Libraries,General Utilities,Detect-port,javascript
liftoff,Developer Tooling,Local Development Runtimes,Liftoff,javascript
@types/fs-extra,Utility Libraries,General Utilities,@types/fs-extra,javascript
get-port,Utility Libraries,General Utilities,Get-port,javascript
stylelint-config-standard,Testing & Quality,Static Analysis,Stylelint-config-standard,javascript
gulp-imagemin,Developer Tooling,Build Tools,Gulp-imagemin,javascript
husky,Utility Libraries,General Utilities,Husky,javascript
@babel/register,Developer Tooling,Build Tools,@babel/register,javascript
gulp-install,Developer Tooling,Build Tools,Gulp-install,javascript
gzip-size,Utility Libraries,General Utilities,Gzip-size,javascript
node-gyp,Developer Tooling,Build Tools,Node-gyp,javascript
node-forge,Security,Transport Security,Node-forge,javascript
grunt-contrib-clean,Developer Tooling,Build Tools,Grunt-contrib-clean,javascript
pm2,Developer Tooling,Local Development Runtimes,Pm2,javascript
plist,Utility Libraries,General Utilities,Plist,javascript
polished,Utility Libraries,General Utilities,Polished,javascript
@fortawesome/free-solid-svg-icons,Utility Libraries,General Utilities,@fortawesome/free-solid-svg-icons,javascript
ts-jest,Testing & Quality,Testing Frameworks,Ts-jest,javascript
react-test-renderer,Testing & Quality,Testing Frameworks,React-test-renderer,javascript
grunt-contrib-watch,Developer Tooling,Build Tools,Grunt-contrib-watch,javascript
loglevel,Observability,Logging,Loglevel,javascript
on-finished,Utility Libraries,General Utilities,On-finished,javascript
fs-promise,Utility Libraries,General Utilities,Fs-promise,javascript
levelup,Data Management,NoSQL Databases,Levelup,javascript
nomnom,Utility Libraries,General Utilities,Nomnom,javascript
@angular-devkit/core,Developer Tooling,Build Tools,@angular-devkit/core,javascript
react-dnd-html5-backend,Application Development,Web Frameworks,React-dnd-html5-backend,javascript
react-motion,Application Development,Reactive Programming,React-motion,javascript
command-line-usage,Utility Libraries,General Utilities,Command-line-usage,javascript
readline,Utility Libraries,General Utilities,Readline,javascript
grunt-contrib-uglify,Developer Tooling,Build Tools,Grunt-contrib-uglify,javascript
csv-parse,Utility Libraries,General Utilities,Csv-parse,javascript
js-base64,Utility Libraries,General Utilities,Js-base64,javascript
level,Data Management,NoSQL Databases,Level,javascript
dayjs,Utility Libraries,Date & Time Utilities,Dayjs,javascript
parseurl,Utility Libraries,General Utilities,Parseurl,javascript
babel-preset-stage-1,Developer Tooling,Build Tools,Babel-preset-stage-1,javascript
read,Utility Libraries,General Utilities,Read,javascript
lodash.defaults,Utility Libraries,General Utilities,Lodash.defaults,javascript
requireindex,Utility Libraries,General Utilities,Requireindex,javascript
tough-cookie,Utility Libraries,General Utilities,Tough-cookie,javascript
cli,Utility Libraries,General Utilities,Cli,javascript
emotion,Application Development,Template Engines,Emotion,javascript
map-stream,Utility Libraries,General Utilities,Map-stream,javascript
fancy-log,Observability,Logging,Fancy-log,javascript
gulp-load-plugins,Developer Tooling,Build Tools,Gulp-load-plugins,javascript
svgo,Developer Tooling,Build Tools,Svgo,javascript
cross-fetch,Application Integration,RPC & Web Services,Cross-fetch,javascript
is-plain-object,Utility Libraries,General Utilities,Is-plain-object,javascript
source-map-loader,Developer Tooling,Build Tools,Source-map-loader,javascript
@octokit/rest,Application Integration,RPC & Web Services,@octokit/rest,javascript
multimatch,Utility Libraries,General Utilities,Multimatch,javascript
pretty-bytes,Utility Libraries,General Utilities,Pretty-bytes,javascript
urijs,Utility Libraries,General Utilities,Urijs,javascript
i18next,Utility Libraries,General Utilities,I18next,javascript
@babel/types,Developer Tooling,Build Tools,@babel/types,javascript
html-entities,Serialization,JSON & XML,Html-entities,javascript
cosmiconfig,Utility Libraries,Configuration Utilities,Cosmiconfig,javascript
pino,Observability,Logging,Pino,javascript
verror,Utility Libraries,General Utilities,Verror,javascript
gulp-notify,Developer Tooling,Build Tools,Gulp-notify,javascript
merge-stream,Utility Libraries,General Utilities,Merge-stream,javascript
npm-run-all,Developer Tooling,Build Tools,Npm-run-all,javascript
stylus-loader,Developer Tooling,Build Tools,Stylus-loader,javascript
@babel/preset-typescript,Developer Tooling,Build Tools,@babel/preset-typescript,javascript
grpc,Application Integration,RPC & Web Services,Grpc,javascript
he,Utility Libraries,General Utilities,He,javascript
supports-color,Utility Libraries,General Utilities,Supports-color,javascript
vue-style-loader,Developer Tooling,Build Tools,Vue-style-loader,javascript
create-hash,Utility Libraries,General Utilities,Create-hash,javascript
touch,Utility Libraries,General Utilities,Touch,javascript
csv,Utility Libraries,General Utilities,Csv,javascript
tslint-config-prettier,Testing & Quality,Static Analysis,Tslint-config-prettier,javascript
lodash.camelcase,Utility Libraries,General Utilities,Lodash.camelcase,javascript
log-update,Observability,Logging,Log-update,javascript
lodash.isplainobject,Utility Libraries,General Utilities,Lodash.isplainobject,javascript
apollo-client,Application Integration,Service Integration Frameworks,Apollo-client,javascript
gulp-conflict,Developer Tooling,Build Tools,Gulp-conflict,javascript
@types/cordova,Utility Libraries,General Utilities,@types/cordova,javascript
mathjs,Utility Libraries,General Utilities,Mathjs,javascript
inversify,Application Development,Dependency Injection,Inversify,javascript
react-dropzone,Application Development,Web Frameworks,React-dropzone,javascript
yargs-parser,Utility Libraries,General Utilities,Yargs-parser,javascript
babel-traverse,Developer Tooling,Build Tools,Babel-traverse,javascript
babel-plugin-syntax-dynamic-import,Developer Tooling,Build Tools,Babel-plugin-syntax-dynamic-import,javascript
raw-body,Utility Libraries,General Utilities,Raw-body,javascript
@babel/runtime-corejs2,Developer Tooling,Build Tools,@babel/runtime-corejs2,javascript
sync-request,Application Integration,RPC & Web Services,Sync-request,javascript
@types/jasmine,Testing & Quality,Testing Frameworks,@types/jasmine,javascript
valid-url,Utility Libraries,General Utilities,Valid-url,javascript
react-tap-event-plugin,Application Development,Web Frameworks,React-tap-event-plugin,javascript
babel-plugin-transform-react-remove-prop-types,Developer Tooling,Build Tools,Babel-plugin-transform-react-remove-prop-types,javascript
draft-js,Application Development,Web Frameworks,Draft-js,javascript
cuid,Utility Libraries,General Utilities,Cuid,javascript
slug,Utility Libraries,General Utilities,Slug,javascript
bcrypt-nodejs,Security,Authentication & Authorization,Bcrypt-nodejs,javascript
@babel/parser,Developer Tooling,Build Tools,@babel/parser,javascript
jwt-decode,Security,Authentication & Authorization,Jwt-decode,javascript
postcss-cssnext,Developer Tooling,Build Tools,Postcss-cssnext,javascript
react-icons,Application Development,Web Frameworks,React-icons,javascript
install,Utility Libraries,General Utilities,Install,javascript
basic-auth,Security,Authentication & Authorization,Basic-auth,javascript
memory-fs,Utility Libraries,General Utilities,Memory-fs,javascript
d3-selection,Application Development,Web Frameworks,D3-selection,javascript
@angular-devkit/schematics,Developer Tooling,Code Generators,@angular-devkit/schematics,javascript
es6-promisify,Utility Libraries,General Utilities,Es6-promisify,javascript
react-modal,Application Development,Web Frameworks,React-modal,javascript
redux-form,Application Development,Web Frameworks,Redux-form,javascript
lodash.uniq,Utility Libraries,General Utilities,Lodash.uniq,javascript
gulp-postcss,Developer Tooling,Build Tools,Gulp-postcss,javascript
karma-chrome-launcher,Testing & Quality,Testing Frameworks,Karma-chrome-launcher,javascript
fast-glob,Utility Libraries,General Utilities,Fast-glob,javascript
file-type,Utility Libraries,General Utilities,File-type,javascript
child-process-promise,Utility Libraries,General Utilities,Child-process-promise,javascript
babel-plugin-transform-react-jsx,Developer Tooling,Build Tools,Babel-plugin-transform-react-jsx,javascript
phantomjs-prebuilt,Deployment & Runtime Platforms,Local Development Runtimes,Phantomjs-prebuilt,javascript
@angular/platform-server,Application Development,Web Frameworks,@angular/platform-server,javascript
brfs,Utility Libraries,General Utilities,Brfs,javascript
tar-fs,Utility Libraries,General Utilities,Tar-fs,javascript
clipboard,Utility Libraries,General Utilities,Clipboard,javascript
nyc,Testing & Quality,Code Coverage,Nyc,javascript
phantomjs,Deployment & Runtime Platforms,Local Development Runtimes,Phantomjs,javascript
vinyl-buffer,Utility Libraries,General Utilities,Vinyl-buffer,javascript
clipboardy,Utility Libraries,General Utilities,Clipboardy,javascript
lodash.isfunction,Utility Libraries,General Utilities,Lodash.isfunction,javascript
btoa,Utility Libraries,General Utilities,Btoa,javascript
rxjs-compat,Application Development,Reactive Programming,Rxjs-compat,javascript
fork-ts-checker-webpack-plugin,Developer Tooling,Build Tools,Fork-ts-checker-webpack-plugin,javascript
@types/request,Utility Libraries,General Utilities,@types/request,javascript
recast,Developer Tooling,Build Tools,Recast,javascript
d3-array,Application Development,Web Frameworks,D3-array,javascript
gulp-jshint,Developer Tooling,Build Tools,Gulp-jshint,javascript
base-64,Utility Libraries,General Utilities,Base-64,javascript
make-dir,Utility Libraries,General Utilities,Make-dir,javascript
https,Utility Libraries,General Utilities,Https,javascript
sanitize-filename,Utility Libraries,General Utilities,Sanitize-filename,javascript
bip39,Utility Libraries,General Utilities,Bip39,javascript
vue-class-component,Application Development,Web Frameworks,Vue-class-component,javascript
needle,Application Integration,RPC & Web Services,Needle,javascript
keycode,Utility Libraries,General Utilities,Keycode,javascript
grunt-contrib-copy,Developer Tooling,Build Tools,Grunt-contrib-copy,javascript
selenium-webdriver,Testing & Quality,Testing Frameworks,Selenium-webdriver,javascript
opener,Utility Libraries,General Utilities,Opener,javascript
common-tags,Utility Libraries,General Utilities,Common-tags,javascript
is-wsl,Utility Libraries,General Utilities,Is-wsl,javascript
koa-body,Application Integration,Service Integration Frameworks,Koa-body,javascript
lodash.isstring,Utility Libraries,General Utilities,Lodash.isstring,javascript
lodash.template,Utility Libraries,General Utilities,Lodash.template,javascript
nodegit,Utility Libraries,General Utilities,Nodegit,javascript
command-exists,Utility Libraries,General Utilities,Command-exists,javascript
fstream,Utility Libraries,General Utilities,Fstream,javascript
node-cache,Data Management,Caching,Node-cache,javascript
node-watch,Utility Libraries,General Utilities,Node-watch,javascript
convert-source-map,Utility Libraries,General Utilities,Convert-source-map,javascript
@types/uuid,Utility Libraries,General Utilities,@types/uuid,javascript
imagemin,Developer Tooling,Build Tools,Imagemin,javascript
gulp-filter,Developer Tooling,Build Tools,Gulp-filter,javascript
vue-property-decorator,Application Development,Web Frameworks,Vue-property-decorator,javascript
gaze,Utility Libraries,General Utilities,Gaze,javascript
supertest,Testing & Quality,Testing Frameworks,Supertest,javascript
stack-trace,Utility Libraries,General Utilities,Stack-trace,javascript
gulp-clean-css,Developer Tooling,Build Tools,Gulp-clean-css,javascript
chance,Utility Libraries,General Utilities,Chance,javascript
gulp-typescript,Developer Tooling,Build Tools,Gulp-typescript,javascript
lowdb,Data Management,NoSQL Databases,Lowdb,javascript
generic-pool,Utility Libraries,General Utilities,Generic-pool,javascript
assert-plus,Testing & Quality,Testing Frameworks,Assert-plus,javascript
eslint-plugin-vue,Testing & Quality,Static Analysis,Eslint-plugin-vue,javascript
gulp-minify-css,Developer Tooling,Build Tools,Gulp-minify-css,javascript
is-url,Utility Libraries,General Utilities,Is-url,javascript
urllib,Application Integration,RPC & Web Services,Urllib,javascript
babel-generator,Developer Tooling,Build Tools,Babel-generator,javascript
immer,Utility Libraries,General Utilities,Immer,javascript
sha1,Utility Libraries,General Utilities,Sha1,javascript
grunt-contrib-jshint,Developer Tooling,Build Tools,Grunt-contrib-jshint,javascript
mockjs,Testing & Quality,Mocking & Fakes,Mockjs,javascript
node.extend,Utility Libraries,General Utilities,Node.extend,javascript
connect-redis,Application Integration,Service Integration Frameworks,Connect-redis,javascript
babel-plugin-module-resolver,Developer Tooling,Build Tools,Babel-plugin-module-resolver,javascript
prompts,Utility Libraries,General Utilities,Prompts,javascript
memoize-one,Utility Libraries,General Utilities,Memoize-one,javascript
shell-quote,Utility Libraries,General Utilities,Shell-quote,javascript
hyperquest,Application Integration,RPC & Web Services,Hyperquest,javascript
https-proxy-agent,Application Integration,RPC & Web Services,Https-proxy-agent,javascript
long,Utility Libraries,General Utilities,Long,javascript
chai-as-promised,Testing & Quality,Testing Frameworks,Chai-as-promised,javascript
secp256k1,Utility Libraries,General Utilities,Secp256k1,javascript
http-server,Deployment & Runtime Platforms,Application Servers,Http-server,javascript
utf8,Utility Libraries,General Utilities,Utf8,javascript
type-is,Utility Libraries,General Utilities,Type-is,javascript
vorpal,Application Development,Web Frameworks,Vorpal,javascript
rollup-pluginutils,Developer Tooling,Build Tools,Rollup-pluginutils,javascript
finalhandler,Utility Libraries,General Utilities,Finalhandler,javascript
tweetnacl,Utility Libraries,General Utilities,Tweetnacl,javascript
apollo-link,Application Integration,Service Integration Frameworks,Apollo-link,javascript
coveralls,Testing & Quality,Code Coverage,Coveralls,javascript
d3-shape,Application Development,Web Frameworks,D3-shape,javascript
postcss-normalize,Developer Tooling,Build Tools,Postcss-normalize,javascript
showdown,Utility Libraries,General Utilities,Showdown,javascript
promise-polyfill,Utility Libraries,General Utilities,Promise-polyfill,javascript
node-pre-gyp,Developer Tooling,Build Tools,Node-pre-gyp,javascript
path-is-absolute,Utility Libraries,General Utilities,Path-is-absolute,javascript
@fortawesome/react-fontawesome,Application Development,Web Frameworks,@fortawesome/react-fontawesome,javascript
preact,Application Development,Web Frameworks,Preact,javascript
crc,Utility Libraries,General Utilities,Crc,javascript
babel-plugin-transform-async-to-generator,Developer Tooling,Build Tools,Babel-plugin-transform-async-to-generator,javascript
osenv,Utility Libraries,General Utilities,Osenv,javascript
hiredis,Data Management,Caching,Hiredis,javascript
lodash.isempty,Utility Libraries,General Utilities,Lodash.isempty,javascript
@babel/traverse,Developer Tooling,Build Tools,@babel/traverse,javascript
serve-index,Utility Libraries,General Utilities,Serve-index,javascript
lodash.map,Utility Libraries,Collections & Data Structures,Lodash.map,javascript
highland,Application Development,Reactive Programming,Highland,javascript
localforage,Utility Libraries,General Utilities,Localforage,javascript
winston-daily-rotate-file,Observability,Logging,Winston-daily-rotate-file,javascript
deep-diff,Utility Libraries,General Utilities,Deep-diff,javascript
passport-oauth,Security,Authentication & Authorization,Passport-oauth,javascript
passport-strategy,Security,Authentication & Authorization,Passport-strategy,javascript
iview,Application Development,Web Frameworks,Iview,javascript
dom-helpers,Utility Libraries,General Utilities,Dom-helpers,javascript
tildify,Utility Libraries,General Utilities,Tildify,javascript
ethereumjs-tx,Utility Libraries,General Utilities,Ethereumjs-tx,javascript
babel-template,Developer Tooling,Build Tools,Babel-template,javascript
leveldown,Data Management,NoSQL Databases,Leveldown,javascript
gulp-eslint,Developer Tooling,Build Tools,Gulp-eslint,javascript
rc-util,Utility Libraries,General Utilities,Rc-util,javascript
depd,Utility Libraries,General Utilities,Depd,javascript
content-type,Utility Libraries,General Utilities,Content-type,javascript
nanoid,Utility Libraries,General Utilities,Nanoid,javascript
babel-plugin-syntax-jsx,Developer Tooling,Build Tools,Babel-plugin-syntax-jsx,javascript
bl,Utility Libraries,General Utilities,Bl,javascript
read-pkg,Utility Libraries,General Utilities,Read-pkg,javascript
markdown,Utility Libraries,General Utilities,Markdown,javascript
jest-environment-jsdom-fourteen,Testing & Quality,Testing Frameworks,Jest-environment-jsdom-fourteen,javascript
react-error-overlay,Developer Tooling,Local Development Runtimes,React-error-overlay,javascript
serialize-javascript,Serialization,JSON & XML,Serialize-javascript,javascript
nprogress,Application Development,Web Frameworks,Nprogress,javascript
accepts,Utility Libraries,General Utilities,Accepts,javascript
bizcharts,Application Development,Web Frameworks,Bizcharts,javascript
require-all,Utility Libraries,General Utilities,Require-all,javascript
base64-js,Utility Libraries,General Utilities,Base64-js,javascript
component-emitter,Utility Libraries,General Utilities,Component-emitter,javascript
connect-flash,Utility Libraries,General Utilities,Connect-flash,javascript
koa-logger,Observability,Logging,Koa-logger,javascript
react-color,Application Development,Web Frameworks,React-color,javascript
findup-sync,Utility Libraries,General Utilities,Findup-sync,javascript
passport-oauth2,Security,Authentication & Authorization,Passport-oauth2,javascript
dockerode,Application Integration,Service Integration Frameworks,Dockerode,javascript
enzyme-adapter-react-16,Testing & Quality,Testing Frameworks,Enzyme-adapter-react-16,javascript
etag,Utility Libraries,General Utilities,Etag,javascript
immutability-helper,Utility Libraries,General Utilities,Immutability-helper,javascript
grunt-cli,Developer Tooling,Local Development Runtimes,Grunt-cli,javascript
front-matter,Utility Libraries,General Utilities,Front-matter,javascript
mssql,Data Management,Relational Databases,Mssql,javascript
react-native-vector-icons,Application Development,Mobile & Embedded,React-native-vector-icons,javascript
react-virtualized,Application Development,Web Frameworks,React-virtualized,javascript
fork-ts-checker-webpack-plugin-alt,Developer Tooling,Build Tools,Fork-ts-checker-webpack-plugin-alt,javascript
slugify,Utility Libraries,General Utilities,Slugify,javascript
node-dir,Utility Libraries,General Utilities,Node-dir,javascript
babel-plugin-transform-regenerator,Developer Tooling,Build Tools,Babel-plugin-transform-regenerator,javascript
keypress,Utility Libraries,General Utilities,Keypress,javascript
@types/bluebird,Utility Libraries,General Utilities,@types/bluebird,javascript
lodash.foreach,Utility Libraries,General Utilities,Lodash.foreach,javascript
grunt-contrib-concat,Developer Tooling,Build Tools,Grunt-contrib-concat,javascript
split2,Utility Libraries,General Utilities,Split2,javascript
extend-shallow,Utility Libraries,General Utilities,Extend-shallow,javascript
@phosphor/widgets,Application Development,Web Frameworks,@phosphor/widgets,javascript
xregexp,Utility Libraries,General Utilities,Xregexp,javascript
awesome-typescript-loader,Developer Tooling,Build Tools,Awesome-typescript-loader,javascript
hash-sum,Utility Libraries,General Utilities,Hash-sum,javascript
apollo-link-http,Application Integration,Service Integration Frameworks,Apollo-link-http,javascript
babel-preset-stage-3,Developer Tooling,Build Tools,Babel-preset-stage-3,javascript
restler,Application Integration,RPC & Web Services,Restler,javascript
lodash.flatten,Utility Libraries,Collections & Data Structures,Lodash.flatten,javascript
react-apollo,Application Integration,Service Integration Frameworks,React-apollo,javascript
intl,Utility Libraries,General Utilities,Intl,javascript
babel-plugin-dynamic-import-node,Developer Tooling,Build Tools,Babel-plugin-dynamic-import-node,javascript
uglify-es,Developer Tooling,Build Tools,Uglify-es,javascript
react-lifecycles-compat,Application Development,Web Frameworks,React-lifecycles-compat,javascript
lint-staged,Developer Tooling,Build Tools,Lint-staged,javascript
@babel/plugin-proposal-export-default-from,Developer Tooling,Build Tools,@babel/plugin-proposal-export-default-from,javascript
normalize-wheel,Utility Libraries,General Utilities,Normalize-wheel,javascript
is-promise,Utility Libraries,General Utilities,Is-promise,javascript
